"Film","Year","BoxOfficeGross"
"Avengers: Endgame","2019",2799439100
"Avengers: Infinity War","2018",2052415039
"Spider-Man: No Way Home","2021",1921373347
"The Avengers","2012",1520538536
"Avengers: Age of Ultron","2015",1405018048
"Black Panther","2018",1349926083
"Deadpool & Wolverine  †","2024",1336674501
"Iron Man 3","2013",1266152644
"Captain America: Civil War","2016",1155046416
"Spider-Man: Far From Home","2019",1132705055
"Captain Marvel","2019",1131416446
"Doctor Strange in the Multiverse of Madness","2022",955775804
"Spider-Man: Homecoming","2017",880944210
"Guardians of the Galaxy Vol. 2","2017",863756903
"Black Panther: Wakanda Forever","2022",859208836
"Thor: Ragnarok","2017",855301806
"Guardians of the Galaxy Vol. 3","2023",845555777
"Guardians of the Galaxy","2014",773350376
"Thor: Love and Thunder","2022",760928081
"Captain America: The Winter Soldier","2014",714421503
"Doctor Strange","2016",677796833
"Thor: The Dark World","2013",644783140
"Iron Man 2","2011",623933331
"Ant-Man and the Wasp","2018",622674139
"Iron Man","2008",585796247
